rddata1,rddata2
00000000000000000000000000000000,00000000000000000000000000000000
00000000000000000000000000000000,00000000000000000000000000000000
00000000000000000000000000000000,00000000000000000000000000000000
00000000000000000000000000000000,00000000000000000000000000000000
00000000000000000000000000000000,00000000000000000000000000000000
10101000011111111110010000000111,UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
00000000000000000000000000000000,10101000011111111110010000000111
UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU,00000000000000000000000000000000
UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU,10101000011111111110010000000111
UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU,10101000011111111110010000000111
UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU,10101000011111111110010000000111
11111111111111111111111111111111,11111111111111111111111111111111
